,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_D2,npsf_D2,nfa_D2,lumpSum_D3,npsf_D3,nfa_D3,lumpSum_D4,npsf_D4,nfa_D4,lumpSum_change,npsf_change
2019-12-15,74256326.0,49881.666666666664,6,445537956,299290,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",72611260.0,49564.0,1465.0,72611260.0,49564.0,1465.0,72611260.0,49564.0,1465.0,75655944.0,50037.0,1512.0,75655944.0,50037.0,1512.0,76392288.0,50524.0,1512.0,-0.06370918710080731,-0.06370931160157056
2019-1-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-12-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-11-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-10-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-9-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-8-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-7-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-6-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-5-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-4-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-3-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-2-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2018-1-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-12-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-11-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-10-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-9-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-8-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-7-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-6-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-5-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-4-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-3-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-2-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2017-1-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-12-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-11-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-10-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-9-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-8-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-7-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-6-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-5-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-4-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-3-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-2-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
2016-1-15,,,6,,,8931,"GOODVIEW GDN(Block D),STUBBS RD|豐景台D座,司徒拔道",,,1465.0,,,1465.0,,,1465.0,,,1512.0,,,1512.0,,,1512.0,,
